Date,AAPL,MSFT,GOOGL,AMZN,META,JPM,BAC,WFC,GS,C,XOM,CVX,COP,SLB,OXY,JNJ,PFE,UNH,MRK,ABBV,PG,KO,PEP,WMT,COST
2025-07-24,212.91531372070312,506.8316650390625,191.6233367919922,232.22999572753906,712.46484375,290.9832458496094,47.35837173461914,82.06920623779297,704.9882202148438,93.27533721923828,107.36753845214844,149.56576538085938,92.55232238769531,34.30301284790039,43.72575378417969,165.4266357421875,23.6942195892334,271.313720703125,81.3890151977539,185.08804321289062,155.42498779296875,67.19692993164062,139.0063934326172,95.79904174804688,928.5728759765625
2025-07-25,213.0348358154297,509.6392822265625,192.63046264648438,231.44000244140625,710.351806640625,293.0144348144531,47.417091369628906,82.5095443725586,714.5947875976562,93.94026184082031,106.98957824707031,148.6155548095703,91.90381622314453,34.52689743041992,43.804134368896484,164.19735717773438,23.570615768432617,273.7290344238281,81.96959686279297,184.55459594726562,154.9258575439453,67.26500701904297,137.98675537109375,96.66182708740234,930.2435302734375
2025-07-28,213.20419311523438,508.4388122558594,192.0321807861328,232.7899932861328,715.28564453125,292.6807861328125,47.201778411865234,81.28638458251953,709.3699951171875,93.43179321289062,107.99745178222656,149.99766540527344,93.90740966796875,35.04279708862305,44.62711715698242,162.16806030273438,23.114225387573242,274.7613830566406,81.34062194824219,182.84756469726562,153.76121520996094,66.21473693847656,136.17837524414062,96.80066680908203,928.7618408203125
2025-07-29,210.43516540527344,508.5082702636719,195.1931610107422,231.00999450683594,697.7132568359375,291.4640808105469,46.92774963378906,80.87541198730469,717.5355834960938,92.38551330566406,109.3929672241211,150.71751403808594,94.8462905883789,34.682640075683594,44.538936614990234,164.01199340820312,23.104717254638672,254.2604522705078,79.95687866210938,185.46630859375,153.27186584472656,67.4692153930664,138.41000366210938,97.51470184326172,929.338623046875
2025-07-30,208.2239227294922,509.1729431152344,195.970947265625,230.19000244140625,692.9389038085938,294.0054626464844,46.93753433227539,80.02408599853516,716.3298950195312,93.68602752685547,108.44324493408203,147.3870086669922,93.56863403320312,33.2614631652832,43.510215759277344,163.18270874023438,22.638818740844727,259.1007995605469,79.10536193847656,183.61376953125,149.62136840820312,66.85657501220703,137.41921997070312,96.78082275390625,922.318115234375
2025-07-31,206.74978637695312,529.2723999023438,191.35411071777344,234.11000061035156,770.913330078125,290.6790771484375,46.262245178222656,78.8987808227539,709.3112182617188,91.62279510498047,108.1912612915039,145.54420471191406,92.28130340576172,32.90129470825195,43.04973220825195,160.72413635253906,22.144397735595703,243.0506591796875,75.59278869628906,183.33250427246094,147.2627410888672,66.02025604248047,132.66737365722656,97.1676025390625,934.3802490234375
2025-08-01,201.58029174804688,519.9568481445312,188.59201049804688,214.75,747.5598754882812,283.9380798339844,44.68657302856445,76.10997009277344,695.5678100585938,89.79425811767578,106.25305938720703,145.3138427734375,89.7840805053711,32.17123794555664,42.53047561645508,163.25100708007812,22.33456039428711,231.5681915283203,76.72494506835938,189.345947265625,147.43890380859375,66.96353149414062,133.97557067871094,97.67337036132812,948.5003662109375
2025-08-04,202.5464630126953,531.3953857421875,194.4851837158203,211.64999389648438,773.833740234375,288.73626708984375,44.872520446777344,75.91427612304688,711.703125,90.63087463378906,104.05318450927734,144.9683074951172,89.87118530273438,32.005760192871094,41.991615295410156,166.8705596923828,22.37259292602539,234.69444274902344,77.27650451660156,191.2566680908203,147.54653930664062,67.060791015625,134.2449188232422,98.76424407958984,951.3383178710938
2025-08-05,202.1181640625,523.5679321289062,194.11622619628906,213.75,760.9659423828125,285.9004821777344,44.58870315551758,76.28610229492188,706.6840209960938,90.0796890258789,103.92720031738281,146.88792419433594,90.2099609375,32.609275817871094,42.20716094970703,166.57786560058594,23.532583236694336,244.45309448242188,78.1764144897461,192.57574462890625,147.3018798828125,67.1483154296875,134.13909912109375,98.48657989501953,939.6478271484375
2025-08-06,212.40733337402344,520.7802124023438,195.53219604492188,222.30999755859375,769.4680786132812,285.880859375,44.451683044433594,75.94361877441406,710.4384765625,90.77851867675781,103.2197494506836,146.63836669921875,90.12284851074219,31.986295700073242,41.6781005859375,166.4315185546875,22.752918243408203,239.36923217773438,76.8700942993164,190.39344787597656,149.601806640625,67.59564208984375,135.4376983642578,102.50299072265625,964.4725952148438
2025-08-07,219.16053771972656,516.7127075195312,195.96096801757812,223.1300048828125,759.3412475585938,281.55364990234375,43.96234130859375,75.39564514160156,705.537109375,89.79426574707031,102.67704010009766,147.0030975341797,89.62920379638672,31.918153762817383,42.70682907104492,167.34860229492188,23.038158416748047,238.2882080078125,77.77000427246094,192.8764190673828,150.2183837890625,68.49031066894531,138.43885803222656,102.26497650146484,973.3251953125
2025-08-08,228.44371032714844,517.9032592773438,200.84701538085938,222.69000244140625,766.786865234375,283.33953857421875,45.02910614013672,76.62599182128906,707.0369873046875,91.27064514160156,103.50078582763672,148.7787322998047,90.8971939086914,31.996023178100586,43.422035217285156,169.104736328125,23.370943069458008,244.34597778320312,78.07965850830078,192.09078979492188,150.23794555664062,68.40277862548828,139.6797332763672,102.86991882324219,976.8402709960938
2025-08-11,226.53909301757812,517.6353759765625,200.42822265625,221.3000030517578,763.3679809570312,284.1244812011719,45.17591094970703,76.37007141113281,705.0469970703125,90.85725402832031,102.56074523925781,147.28143310546875,90.52938079833984,31.509319305419922,42.82439422607422,169.5828094482422,23.370943069458008,245.787353515625,77.44100189208984,192.6630401611328,151.67662048339844,68.80148315429688,139.35267639160156,103.0682601928711,984.5674438476562
